Date,ClientName,Side,TaskAmt,FilledAmt,PnL2TWAP(BPS),PnL2VWAP(BPS),PnL2Benchmark(BPS),PnL2TWAP(YUAN),PnL2VWAP(YUAN),PnL2Benchmark(YUAN),Fee,OtherFee
2023-06-09,yytz_888867600047,B,565590.92,565590.92,13.065818100474456,10.986577507290958,10.986577507290958,738.990808,621.390848,621.390848,0.0,-44.512005
2023-06-09,yytz_888867600047,S,1.57049421518E7,1.57049421518E7,2.965551307341938,-1.615694719199697,-1.615694719199697,4657.381173,-2537.439209999998,-2537.439209999998,0.0,-16940.921102
