Date,ClientName,Side,Symbol,QuoteID,ClOrdID,OrderID,TransactTime,OrderQty,OrdType,Price,AvgPx,CumQty,LeavesQty,OrdStatus,Fee,FilledValue,OtherFee,AlgoNote,BasketID,username,ip,mac
2023-06-09,yytz_888867600047,S,002605.SZ,"20875132397000029	","2351279437605959686	","2351279437605959686	","93015621	",300,"Limit	",40.4,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,002956.SZ,"20875132397000040	","2351279437605959687	","2351279437605959687	","93015621	",700,"Limit	",16.18,16.18,700,0,"Filled	",0.0,-11326.0,12.217356,1,,,,
2023-06-09,yytz_888867600047,S,300855.SZ,"20875132397000051	","2351279437605959689	","2351279437605959689	","93015621	",900,"Limit	",33.05,33.05,900,0,"Filled	",0.0,-29745.0,32.085932,1,,,,
2023-06-09,yytz_888867600047,S,002588.SZ,"20875132397000028	","2351279437605959690	","2351279437605959690	","93015622	",3900,"Limit	",6.11,6.11,3900,0,"Filled	",0.0,-23829.0,25.704342,1,,,,
2023-06-09,yytz_888867600047,S,301086.SZ,"20875132397000054	","2351279506325436416	","2351279506325436416	","93015622	",200,"Limit	",69.79,69.795,200,0,"Filled	",0.0,-13959.0,15.057573,1,,,,
2023-06-09,yytz_888867600047,S,600292.SH,"20875132397000064	","2351279575044913152	","2351279575044913152	","93015622	",3300,"Limit	",5.78,5.78,3300,0,"Filled	",0.0,-19074.0,20.575124,1,,,,
2023-06-09,yytz_888867600047,S,601021.SH,"20875132397000074	","2351279712483866629	","2351279712483866629	","93015625	",600,"Limit	",55.3,55.4,600,0,"Filled	",0.0,-33240.0,35.855988,1,,,,
2023-06-09,yytz_888867600047,S,301102.SZ,"20875132397000056	","2351279712483866631	","2351279712483866631	","93015625	",700,"Limit	",34.33,34.33,700,0,"Filled	",0.0,-24031.0,25.92224,1,,,,
2023-06-09,yytz_888867600047,S,601888.SH,"20875132397000083	","2351279781203343362	","2351279781203343362	","93015626	",300,"Limit	",118.01,118.08,300,0,"Filled	",0.0,-35424.0,38.211869,1,,,,
2023-06-09,yytz_888867600047,S,688261.SH,"20875132397000113	","2351279781203343366	","2351279781203343366	","93015627	",347,"Limit	",163.79,0.0,0,0,"Canceled	",0.0,0.0,0.0,1,,,,
2023-06-09,yytz_888867600047,S,688722.SH,"20875132397000124	","2351279849922820097	","2351279849922820097	","93015627	",1767,"Limit	",16.97,16.97,1767,0,"Filled	",0.0,-29985.99,32.345887,1,,,,
2023-06-09,yytz_888867600047,S,603032.SH,"20875132397000085	","2351279849922820099	","2351279849922820099	","93015627	",500,"Limit	",46.85,46.85,500,0,"Filled	",0.0,-23425.0,25.268548,1,,,,
2023-06-09,yytz_888867600047,S,688148.SH,"20875132397000109	","2351279849922820105	","2351279849922820105	","93015628	",2270,"Limit	",10.8,10.81,2270,0,"Filled	",0.0,-24538.7,26.469896,1,,,,
2023-06-09,yytz_888867600047,S,000063.SZ,"20875132397000003	","2351348088363218944	","2351348088363218944	","93016619	",200,"Limit	",35.75,35.75,200,0,"Filled	",0.0,-7150.0,7.712705,1,,,,
2023-06-09,yytz_888867600047,S,002905.SZ,"20875132397000038	","2351348225802172416	","2351348225802172416	","93016621	",2300,"Limit	",10.28,10.3209,2300,0,"Filled	",0.0,-23738.07,25.606256,1,,,,
2023-06-09,yytz_888867600047,S,600829.SH,"20875132397000070	","2351348363241125888	","2351348363241125888	","93016623	",3300,"Limit	",6.95,6.95,3300,0,"Filled	",0.0,-22935.0,24.739985,1,,,,
