accountS,symbol,security_type,order_type,strategy_alias,note
-1,-1,-1,-1,103,Defult
-1,600582.SH,-1,101|102,104,
-1,688528.SH,-1,101|102,104,
-1,688059.SH,-1,101|102,104,
-1,603209.SH,-1,101|102,104,
-1,600883.SH,-1,101|102,104,
-1,688188.SH,-1,101|102,104,
-1,688766.SH,-1,101|102,104,
-1,600729.SH,-1,101|102,104,
-1,688369.SH,-1,101|102,104,
-1,688085.SH,-1,101|102,104,
-1,688778.SH,-1,101|102,104,
-1,688410.SH,-1,101|102,104,
-1,605060.SH,-1,101|102,104,
-1,688155.SH,-1,101|102,104,
-1,688575.SH,-1,101|102,104,
-1,688200.SH,-1,101|102,104,
-1,605369.SH,-1,101|102,104,
-1,688508.SH,-1,101|102,104,
-1,688686.SH,-1,101|102,104,
-1,605069.SH,-1,101|102,104,
-1,688010.SH,-1,101|102,104,
-1,688027.SH,-1,101|102,104,
-1,688181.SH,-1,101|102,104,
-1,688095.SH,-1,101|102,104,
-1,601006.SH,-1,101|102,104,
-1,603801.SH,-1,101|102,104,
-1,688021.SH,-1,101|102,104,
-1,688498.SH,-1,101|102,104,
-1,688679.SH,-1,101|102,104,
-1,600803.SH,-1,101|102,104,
-1,603337.SH,-1,101|102,104,
-1,688198.SH,-1,101|102,104,
-1,688513.SH,-1,101|102,104,
-1,603203.SH,-1,101|102,104,
-1,688600.SH,-1,101|102,104,
-1,688665.SH,-1,101|102,104,
-1,688091.SH,-1,101|102,104,
-1,603658.SH,-1,101|102,104,
-1,603499.SH,-1,101|102,104,
-1,688578.SH,-1,101|102,104,
-1,605266.SH,-1,101|102,104,
-1,688065.SH,-1,101|102,104,
-1,688333.SH,-1,101|102,104,
-1,603156.SH,-1,101|102,104,
-1,688030.SH,-1,101|102,104,
-1,688060.SH,-1,101|102,104,
-1,600398.SH,-1,101|102,104,
-1,603901.SH,-1,101|102,104,
-1,688239.SH,-1,101|102,104,
-1,688232.SH,-1,101|102,104,
-1,605155.SH,-1,101|102,104,
-1,688636.SH,-1,101|102,104,
-1,603886.SH,-1,101|102,104,
-1,600011.SH,-1,101|102,104,
-1,688682.SH,-1,101|102,104,
-1,688687.SH,-1,101|102,104,
-1,688737.SH,-1,101|102,104,
-1,601319.SH,-1,101|102,104,
-1,688121.SH,-1,101|102,104,
-1,600444.SH,-1,101|102,104,
-1,603665.SH,-1,101|102,104,
-1,688359.SH,-1,101|102,104,
-1,688526.SH,-1,101|102,104,
-1,688056.SH,-1,101|102,104,
-1,688276.SH,-1,101|102,104,
-1,688271.SH,-1,101|102,104,
-1,688622.SH,-1,101|102,104,
-1,603180.SH,-1,101|102,104,
-1,605123.SH,-1,101|102,104,
-1,688608.SH,-1,101|102,104,
-1,603970.SH,-1,101|102,104,
-1,688163.SH,-1,101|102,104,
-1,605183.SH,-1,101|102,104,
-1,688102.SH,-1,101|102,104,
-1,000078.SZ,-1,101|102,105,
-1,000150.SZ,-1,101|102,105,
-1,000068.SZ,-1,101|102,105,
-1,000545.SZ,-1,101|102,105,
-1,000159.SZ,-1,101|102,105,
-1,000652.SZ,-1,101|102,105,
-1,000629.SZ,-1,101|102,105,
-1,000755.SZ,-1,101|102,105,
-1,000676.SZ,-1,101|102,105,
-1,000757.SZ,-1,101|102,105,
-1,000887.SZ,-1,101|102,105,
-1,000721.SZ,-1,101|102,105,
-1,000778.SZ,-1,101|102,105,
-1,000932.SZ,-1,101|102,105,
-1,001296.SZ,-1,101|102,105,
-1,002072.SZ,-1,101|102,105,
-1,001339.SZ,-1,101|102,105,
-1,002006.SZ,-1,101|102,105,
-1,002167.SZ,-1,101|102,105,
-1,002148.SZ,-1,101|102,105,
-1,002272.SZ,-1,101|102,105,
-1,002332.SZ,-1,101|102,105,
-1,002347.SZ,-1,101|102,105,
-1,002364.SZ,-1,101|102,105,
-1,002442.SZ,-1,101|102,105,
-1,002522.SZ,-1,101|102,105,
-1,002519.SZ,-1,101|102,105,
-1,002573.SZ,-1,101|102,105,
-1,002603.SZ,-1,101|102,105,
-1,002701.SZ,-1,101|102,105,
-1,002552.SZ,-1,101|102,105,
-1,002800.SZ,-1,101|102,105,
-1,002786.SZ,-1,101|102,105,
-1,002640.SZ,-1,101|102,105,
-1,002713.SZ,-1,101|102,105,
-1,002700.SZ,-1,101|102,105,
-1,002795.SZ,-1,101|102,105,
-1,002909.SZ,-1,101|102,105,
-1,002932.SZ,-1,101|102,105,
-1,003017.SZ,-1,101|102,105,
-1,002947.SZ,-1,101|102,105,
-1,300005.SZ,-1,101|102,105,
-1,300094.SZ,-1,101|102,105,
-1,300149.SZ,-1,101|102,105,
-1,300089.SZ,-1,101|102,105,
-1,300203.SZ,-1,101|102,105,
-1,300254.SZ,-1,101|102,105,
-1,300330.SZ,-1,101|102,105,
-1,300343.SZ,-1,101|102,105,
-1,300410.SZ,-1,101|102,105,
-1,300483.SZ,-1,101|102,105,
-1,300442.SZ,-1,101|102,105,
-1,300522.SZ,-1,101|102,105,
-1,300517.SZ,-1,101|102,105,
-1,300564.SZ,-1,101|102,105,
-1,300636.SZ,-1,101|102,105,
-1,300720.SZ,-1,101|102,105,
-1,300736.SZ,-1,101|102,105,
-1,300836.SZ,-1,101|102,105,
-1,300778.SZ,-1,101|102,105,
-1,300678.SZ,-1,101|102,105,
-1,300767.SZ,-1,101|102,105,
-1,301065.SZ,-1,101|102,105,
-1,301026.SZ,-1,101|102,105,
-1,300854.SZ,-1,101|102,105,
-1,300905.SZ,-1,101|102,105,
