BrokerName,BrokerNo,StgRoute,TargetPath
东吴证券:机构部,1000811,/home/atgouser/ATGO/merge_broker_stg_route/data/a_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1000811/103/stg_route_20230626.dat
财通证券:第一套,1000211,/home/atgouser/ATGO/merge_broker_stg_route/data/a_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1000211/103/stg_route_20230626.dat
财通证券:第二套,1000212,/home/atgouser/ATGO/merge_broker_stg_route/data/a_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1000212/103/stg_route_20230626.dat
国泰君安:销交,1001511,/home/atgouser/ATGO/merge_broker_stg_route/data/a_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1001511/103/stg_route_20230626.dat
东莞证券,1005411,/home/atgouser/ATGO/merge_broker_stg_route/data/a_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1005411/103/stg_route_20230626.dat
浙商证券_南方中心,1003311,/home/atgouser/ATGO/merge_broker_stg_route/data/a_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1003311/103/stg_route_20230626.dat
浙商证券_金桥,1003312,/home/atgouser/ATGO/merge_broker_stg_route/data/a_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1003312/103/stg_route_20230626.dat
第一创业,1000511,/home/atgouser/ATGO/merge_broker_stg_route/data/a_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1000511/103/stg_route_20230626.dat
中航证券,1003411,/home/atgouser/ATGO/merge_broker_stg_route/data/a_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1003411/103/stg_route_20230626.dat
东北证券,1000611,/home/atgouser/ATGO/merge_broker_stg_route/data/a_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1000611/103/stg_route_20230626.dat
安信证券:节点三,1000113,/home/atgouser/ATGO/merge_broker_stg_route/data/a_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1000113/103/stg_route_20230626.dat
民生证券ATX,1005921,/home/atgouser/ATGO/merge_broker_stg_route/data/a_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1005921/103/stg_route_20230626.dat
兴业证券:福州,1002811,/home/atgouser/ATGO/merge_broker_stg_route/data/a_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1002811/103/stg_route_20230626.dat
兴业证券:上海,1002812,/home/atgouser/ATGO/merge_broker_stg_route/data/a_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1002812/103/stg_route_20230626.dat
涵德_华创,1005611,/home/atgouser/ATGO/merge_broker_stg_route/data/b_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1005611/103/stg_route_20230626.dat
国联证券,1001411,/home/atgouser/ATGO/merge_broker_stg_route/data/b_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1001411/103/stg_route_20230626.dat
信达证券,1002711,/home/atgouser/ATGO/merge_broker_stg_route/data/b_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1002711/103/stg_route_20230626.dat
银河证券:上证通,1002912,/home/atgouser/ATGO/merge_broker_stg_route/data/b_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1002912/103/stg_route_20230626.dat
银河证券:深证通,1002911,/home/atgouser/ATGO/merge_broker_stg_route/data/b_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1002911/103/stg_route_20230626.dat
华安证券,1001811,/home/atgouser/ATGO/merge_broker_stg_route/data/b_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1001811/103/stg_route_20230626.dat
天风证券,1002411,/home/atgouser/ATGO/merge_broker_stg_route/data/b_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1002411/103/stg_route_20230626.dat
东海证券_自营,1003812,/home/atgouser/ATGO/merge_broker_stg_route/data/b_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1003812/103/stg_route_20230626.dat
中泰证券,1003611,/home/atgouser/ATGO/merge_broker_stg_route/data/b_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1003611/103/stg_route_20230626.dat
恒泰证券,1001711,/home/atgouser/ATGO/merge_broker_stg_route/data/b_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1001711/103/stg_route_20230626.dat
中金财富证券ATGO,1003511,/home/atgouser/ATGO/merge_broker_stg_route/data/b_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1003511/103/stg_route_20230626.dat
中金财富证券ATX,1003521,/home/atgouser/ATGO/merge_broker_stg_route/data/b_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1003521/103/stg_route_20230626.dat
光大证券,1001211,/home/atgouser/ATGO/merge_broker_stg_route/data/b_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1001211/103/stg_route_20230626.dat
开源证券ATGO,1002111,/home/atgouser/ATGO/merge_broker_stg_route/data/b_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1002111/103/stg_route_20230626.dat
开源证券ATX,1002121,/home/atgouser/ATGO/merge_broker_stg_route/data/b_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1002121/103/stg_route_20230626.dat
华鑫证券,1002011,/home/atgouser/ATGO/merge_broker_stg_route/data/hx_stg_route/stg_route_20230626.csv,/home/atgouser/ATGO/signal_mult_sig_route_pub/cfgfile/strategy_dir/1002011/103/stg_route_20230626.dat
