Date,ClientName,Side,Symbol,OrdType,TaskQty,ClOrdID,StartTime,EndTime,CancelFlag,OrderCount,CancelledCount,FilledQty,AvgPx,Status,TWAP,VWAP,BasketID,Fee,OtherFee,CumVolPercentage(%),Pnl,CumQtyBuy,CumQtySell,AvgPxBuy,AvgPxSell,EodPrice
2022-06-14,ruiyan1,0,000028.SZ,"T0	",500,"20838434203000000	","93003000	","145500000	",0,0,0,0,0.0,null,null,null,,0.0,0.0,0,0.0,0,0,0.0,0.0,29.38
2022-06-14,ruiyan1,0,000034.SZ,"T0	",1100,"20838434203000001	","93003000	","145500000	",0,0,0,0,0.0,null,null,null,,0.0,0.0,0,0.0,0,0,0.0,0.0,15.17
2022-06-14,ruiyan1,0,000035.SZ,"T0	",3100,"20838434203000002	","93003000	","145500000	",0,0,0,0,0.0,null,null,null,,0.0,0.0,0,0.0,0,0,0.0,0.0,5.28
2022-06-14,ruiyan1,0,000059.SZ,"T0	",2400,"20838434203000003	","93003000	","145500000	",0,0,0,0,0.0,null,null,null,,0.0,0.0,0,0.0,0,0,0.0,0.0,6.79
2022-06-14,ruiyan1,0,000156.SZ,"T0	",2100,"20838434203000004	","93003000	","145500000	",0,0,0,0,0.0,null,null,null,,0.0,0.0,0,0.0,0,0,0.0,0.0,7.84
2022-06-14,ruiyan1,0,000338.SZ,"T0	",1300,"20838434203000005	","93003000	","145500000	",0,0,0,0,0.0,null,null,null,,0.0,0.0,0,0.0,0,0,0.0,0.0,12.84
2022-06-14,ruiyan1,0,000536.SZ,"T0	",8100,"20838434203000006	","93003000	","145500000	",0,0,0,0,0.0,null,null,null,,0.0,0.0,0,0.0,0,0,0.0,0.0,1.97
2022-06-14,ruiyan1,0,000625.SZ,"T0	",1000,"20838434203000007	","93003000	","145500000	",2,3,0,1000,0.0,null,null,null,,-5.18595,-20.309625,0,-87.0,1000,1000,17.33,17.243,18.69
2022-06-14,ruiyan1,0,000685.SZ,"T0	",2100,"20838434203000008	","93003000	","145500000	",0,0,0,0,0.0,null,null,null,,0.0,0.0,0,0.0,0,0,0.0,0.0,7.85
2022-06-14,ruiyan1,0,000703.SZ,"T0	",1400,"20838434203000009	","93003000	","145500000	",0,0,0,0,0.0,null,null,null,,0.0,0.0,0,0.0,0,0,0.0,0.0,12.12
