交易日期,账户名称,资金账号,证券代码,证券名称,证券类别,交易市场,交易方向,母单编号,篮子编号,算法类型,算法实例,母单状态,任务数量,成交数量,成交金额,成交均价,交易费用,其他费用,开始时间,结束时间,子单委托笔数,子单撤单笔数,时段市场交易量占比(%),状态标识,TWAP价格,VWAP价格,基准绩效(BPS),基准绩效(元)
20230601	,jltest2	,202305181001	,600403.SH	,大有能源,股票,上交所,卖出,6880527336830003500	,202360192252880119	,VWAP	,kf_vwap_plus	,全部成交,6300,6300,26102.00,4.143,0.00,28.15,09:30:00	,10:30:00	,13,0,0.28524857,正常,4.1457833333,4.1406732771,6.04,15.76
20230601	,jltest2	,202305181001	,600120.SH	,浙江东方,股票,上交所,卖出,6880527336830003700	,202360192252879917	,VWAP	,kf_vwap_plus	,全部成交,19600,19600,76724.00,3.914,0.00,82.76,09:30:00	,10:30:00	,49,0,0.51145409,正常,3.9163188647,3.9178466425,-8.58,-65.79
20230601	,jltest2	,202305181001	,600675.SH	,中华企业,股票,上交所,卖出,6880527336830003900	,202360192252880422	,VWAP	,kf_vwap_plus	,全部成交,9100,9100,25266.00,2.776,0.00,27.25,09:30:00	,10:30:00	,15,2,0.12004960,正常,2.7575333333,2.7679359383,30.79,77.78
20230601	,jltest2	,202305181001	,600688.SH	,上海石化,股票,上交所,卖出,6880527336830004100	,202360192252880723	,VWAP	,kf_vwap_plus	,全部成交,13400,13400,42210.00,3.150,0.00,45.53,09:30:00	,10:30:00	,35,16,0.32896328,正常,3.1503541666,3.1488389437,3.69,15.56
20230601	,jltest2	,202305181001	,600821.SH	,金开新能,股票,上交所,卖出,6880527336830004300	,202360192252880925	,VWAP	,kf_vwap_plus	,全部成交,2100,2100,14255.00,6.788,0.00,15.38,09:30:00	,10:30:00	,3,1,0.02655477,正常,6.8058041666,6.8025583620,-21.31,-30.37
20230601	,jltest2	,202305181001	,600691.SH	,阳煤化工,股票,上交所,卖出,6880527336830004500	,202360192252880824	,VWAP	,kf_vwap_plus	,全部成交,1700,1700,5236.00,3.080,0.00,5.65,09:30:00	,10:30:00	,1,0,0.07867092,正常,3.0760708333,3.0702887685,31.53,16.51
20230601	,jltest2	,202305181001	,600997.SH	,开滦股份,股票,上交所,卖出,6880527336830004700	,202360192252880926	,VWAP	,kf_vwap_plus	,全部成交,5200,5200,30661.00,5.896,0.00,33.07,09:30:00	,10:30:00	,3,0,0.18345678,正常,5.8936261448,5.8896514497,11.35,34.81
20230601	,jltest2	,202305181001	,600621.SH	,华鑫股份,股票,上交所,卖出,6880527336830004900	,202360192252880321	,VWAP	,kf_vwap_plus	,全部成交,4900,4900,53229.00,10.863,0.00,57.42,09:30:00	,10:30:00	,7,0,0.16792283,正常,10.8504625000,10.8398266350,21.39,113.85
20230601	,jltest2	,202305181001	,601001.SH	,晋控煤业,股票,上交所,卖出,6880527336830005100	,202360192252881027	,VWAP	,kf_vwap_plus	,全部成交,2400,2400,22100.00,9.208,0.00,23.84,09:30:00	,10:30:00	,3,0,0.06131678,正常,9.2062208333,9.2028346235,5.97,13.20
20230601	,jltest2	,202305181001	,603609.SH	,禾丰股份,股票,上交所,卖出,6880527336830005300	,202360192252881128	,VWAP	,kf_vwap_plus	,全部成交,1600,1600,14768.00,9.230,0.00,15.93,09:30:00	,10:30:00	,4,1,0.09073335,正常,9.2193458333,9.2194079762,11.48,16.95
