Date,ClientName,Type,TaskAmt,FilledAmt,PnL2TWAP(BPS),PnL2VWAP(BPS),PnL2Benchmark(BPS),PnL2TWAP(YUAN),PnL2VWAP(YUAN),PnL2Benchmark(YUAN)
2022-06-14,ruifeng6,普通,2637229.9000000004,2637229.9000000004,-1.489452246844245,-3.679519938705216,-1.489452246844245,-392.8027999999825,-970.3739999999564,-392.8027999999825
2022-06-14,ruizeng8,普通,1005683.06,1005683.06,-0.474265719460295,-2.728110981604723,-0.474265719460295,-47.69609999999306,-274.3614999999841,-47.69609999999306
2022-06-14,ruiyan1,普通,512789.7,512789.7,-0.509852284474582,-2.501107179024818,-0.509852284474582,-26.14470000000358,-128.25419999999826,-26.14470000000358
2022-06-14,ruiding2,普通,818972.94,818972.94,-2.258316373676582,-4.410746464956424,-2.258316373676582,-184.95000000000488,-361.22819999999695,-184.95000000000488
