日期,账户名称,资金账户,证券类别,交易方向,算法实例,任务金额,成交金额,交易费用,其他费用,基准绩效(BPS),基准绩效(元)
20230606	,1263062_5102_5102,永誉天泽经纶四号信用,股票,买入,kf_vwap_plus,457943.91,457943.91,0.00,0.00,11.59,530.56
20230606	,1263062_5102_5102,永誉天泽经纶四号信用,股票,卖出,kf_vwap_plus,425439.22,425439.22,0.00,226.63,-2.13,-90.56
