算法子单编号,算法母单编号,交易日期,市场类别,资金账户名称,算法类型,算法实例,算法供应商,证券代码,委托类型,买卖方向,委托价格,委托数量,委托时间,成交价格,成交数量,委托时间,委托状态,手续费
1030835234518000004,20838434516000001,2022-06-14,1,ruiyan1,1,103,多策略,002505,1,1,3.06,100,2022-06-1493518127,3.06,100,2022-06-1493518127,0,0.027142
1030835234518000005,20838434516000004,2022-06-14,1,ruifeng6,1,103,多策略,002505,1,1,3.06,100,2022-06-1493518127,3.06,100,2022-06-1493518127,0,0.027142
1030835234518000006,20838434515000075,2022-06-14,1,ruifeng6,1,103,多策略,002807,1,1,4.25,100,2022-06-1493518129,0.0,0,2022-06-1493518129,0,0.0
1030835234518000007,20838434515000078,2022-06-14,1,ruiding2,1,103,多策略,002807,1,1,4.25,100,2022-06-1493518129,0.0,0,2022-06-1493518129,0,0.0
1030835234518000008,20838434515000082,2022-06-14,1,ruizeng8,1,103,多策略,002807,1,1,4.25,100,2022-06-1493518129,0.0,0,2022-06-1493518129,0,0.0
1030835234518000010,20838434515000031,2022-06-14,2,ruifeng6,1,103,多策略,601003,1,1,4.27,100,2022-06-1493518148,0.0,0,2022-06-1493518148,0,0.0
1030835234518000011,20838434515000033,2022-06-14,2,ruiyan1,1,103,多策略,601003,1,1,4.27,100,2022-06-1493518148,0.0,0,2022-06-1493518148,0,0.0
1030835234518000012,20838434515000035,2022-06-14,2,ruiding2,1,103,多策略,601003,1,1,4.27,100,2022-06-1493518148,0.0,0,2022-06-1493518148,0,0.0
1030835234518000013,20838434515000038,2022-06-14,2,ruizeng8,1,103,多策略,601003,1,1,4.27,100,2022-06-1493518148,0.0,0,2022-06-1493518148,0,0.0
1030835234518000014,20838434515000085,2022-06-14,2,ruifeng6,1,103,多策略,601390,1,1,6.15,8100,2022-06-1493518149,6.15,8100,2022-06-1493518149,0,4.41859
1030835234518000015,20838434515000087,2022-06-14,2,ruizeng8,1,103,多策略,601390,1,1,6.15,3100,2022-06-1493518149,6.15,3100,2022-06-1493518149,0,1.691065
1030835234519000000,20838434515000086,2022-06-14,2,ruiding2,1,103,多策略,601390,1,1,6.15,2600,2022-06-1493519157,6.15,2600,2022-06-1493519157,0,1.418313
1030835234520000000,20838434515000074,2022-06-14,1,ruifeng6,1,103,多策略,000830,1,1,19.6,1600,2022-06-1493520120,19.6,1600,2022-06-1493520120,0,2.781632
1030835234521000000,20838434515000080,2022-06-14,1,ruizeng8,1,103,多策略,000830,1,1,19.6,600,2022-06-1493521121,19.6,600,2022-06-1493521121,0,1.043112
1030835234521000005,20838434516000017,2022-06-14,2,ruifeng6,1,103,多策略,600258,1,1,20.94,200,2022-06-1493521149,20.94,200,2022-06-1493521149,0,0.371476
1030835234521000006,20838434516000019,2022-06-14,2,ruizeng8,1,103,多策略,600258,1,1,20.94,100,2022-06-1493521149,20.94,100,2022-06-1493521149,0,0.185738
1030835234521000007,20838434515000031,2022-06-14,2,ruifeng6,1,103,多策略,601003,1,1,4.28,2600,2022-06-1493521154,4.28,2600,2022-06-1493521154,0,0.987054
1030835234521000008,20838434515000033,2022-06-14,2,ruiyan1,1,103,多策略,601003,1,1,4.28,500,2022-06-1493521154,4.28,500,2022-06-1493521154,0,0.189818
1030835234521000009,20838434515000035,2022-06-14,2,ruiding2,1,103,多策略,601003,1,1,4.28,800,2022-06-1493521154,4.28,800,2022-06-1493521154,0,0.303709
1030835234521000010,20838434515000038,2022-06-14,2,ruizeng8,1,103,多策略,601003,1,1,4.28,1000,2022-06-1493521154,4.28,1000,2022-06-1493521154,0,0.379636
1030835234521000011,20838434515000084,2022-06-14,2,ruiyan1,1,103,多策略,601390,1,1,6.15,1700,2022-06-1493521155,6.15,1700,2022-06-1493521155,0,0.927359
1030835234523000001,20838434515000052,2022-06-14,1,ruifeng6,1,103,多策略,002233,1,1,8.65,5700,2022-06-1493523123,8.65,5700,2022-06-1493523123,0,4.373353
1030835234530000004,20838434514000005,2022-06-14,2,ruifeng6,1,103,多策略,600141,1,1,44.65,100,2022-06-1493530140,0.0,0,2022-06-1493530140,0,0.0
1030835234530000005,20838434515000031,2022-06-14,2,ruifeng6,1,103,多策略,601003,1,1,4.27,200,2022-06-1493530146,0.0,0,2022-06-1493530146,0,0.0
1030835234530000006,20838434515000033,2022-06-14,2,ruiyan1,1,103,多策略,601003,1,1,4.27,100,2022-06-1493530146,0.0,0,2022-06-1493530146,0,0.0
1030835234530000007,20838434515000035,2022-06-14,2,ruiding2,1,103,多策略,601003,1,1,4.27,100,2022-06-1493530146,0.0,0,2022-06-1493530146,0,0.0
1030835234530000008,20838434515000038,2022-06-14,2,ruizeng8,1,103,多策略,601003,1,1,4.27,100,2022-06-1493530146,0.0,0,2022-06-1493530146,0,0.0
1030835234532000000,20838434515000075,2022-06-14,1,ruifeng6,1,103,多策略,002807,1,1,4.26,100,2022-06-1493532126,0.0,0,2022-06-1493532126,0,0.0
1030835234532000001,20838434515000078,2022-06-14,1,ruiding2,1,103,多策略,002807,1,1,4.26,100,2022-06-1493532126,0.0,0,2022-06-1493532126,0,0.0
1030835234532000002,20838434515000082,2022-06-14,1,ruizeng8,1,103,多策略,002807,1,1,4.26,100,2022-06-1493532126,0.0,0,2022-06-1493532126,0,0.0
1030835234533000000,20838434515000077,2022-06-14,1,ruiding2,1,103,多策略,000830,1,1,19.61,800,2022-06-1493533121,19.61,800,2022-06-1493533121,0,1.391526
1030835234533000003,20838434515000092,2022-06-14,1,ruifeng6,1,103,多策略,002555,1,1,21.49,2300,2022-06-1493533126,21.49,2300,2022-06-1493533126,0,4.384175
1030835234535000001,20838434516000033,2022-06-14,1,ruifeng6,1,103,多策略,002032,1,1,53.57,400,2022-06-1493535122,53.57,400,2022-06-1493535122,0,1.900664
1030835234536000000,20838434514000023,2022-06-14,2,ruifeng6,1,103,多策略,601901,1,1,6.51,200,2022-06-1493536144,6.51,200,2022-06-1493536144,0,0.115487
1030835234536000001,20838434514000026,2022-06-14,2,ruiding2,1,103,多策略,601901,1,1,6.51,100,2022-06-1493536144,6.51,100,2022-06-1493536144,0,0.057744
1030835234537000000,20838434515000072,2022-06-14,1,ruiyan1,1,103,多策略,000830,1,1,19.61,500,2022-06-1493537125,19.604,500,2022-06-1493537125,0,0.869437
1030835234538000002,20838434515000073,2022-06-14,2,ruiyan1,1,103,多策略,600536,1,1,39.72,100,2022-06-1493538144,0.0,0,2022-06-1493538144,0,0.0
1030835234538000003,20838434515000076,2022-06-14,2,ruifeng6,1,103,多策略,600536,1,1,39.72,300,2022-06-1493538144,0.0,0,2022-06-1493538144,0,0.0
1030835234538000004,20838434515000079,2022-06-14,2,ruiding2,1,103,多策略,600536,1,1,39.72,100,2022-06-1493538144,0.0,0,2022-06-1493538144,0,0.0
1030835234538000005,20838434515000083,2022-06-14,2,ruizeng8,1,103,多策略,600536,1,1,39.72,200,2022-06-1493538144,0.0,0,2022-06-1493538144,0,0.0
1030835234539000000,20838434514000035,2022-06-14,1,ruifeng6,1,103,多策略,000536,1,2,1.95,100,2022-06-1493539120,1.95,100,2022-06-1493539120,0,0.212297
1030835234542000001,20838434516000003,2022-06-14,1,ruifeng6,1,103,多策略,000625,1,2,17.04,400,2022-06-1493542124,17.05,400,2022-06-1493542124,0,7.424934
1030835234542000002,20838434516000005,2022-06-14,1,ruiding2,1,103,多策略,000625,1,2,17.04,100,2022-06-1493542124,17.05,100,2022-06-1493542124,0,1.856234
1030835234542000003,20838434516000006,2022-06-14,1,ruizeng8,1,103,多策略,000625,1,2,17.04,100,2022-06-1493542124,17.05,100,2022-06-1493542124,0,1.856234
1030835234546000000,20838434515000075,2022-06-14,1,ruifeng6,1,103,多策略,002807,1,1,4.27,100,2022-06-1493546131,4.27,100,2022-06-1493546131,0,0.037875
