算法母单编号,交易日期,资金账户名称,算法类型,算法实例,算法供应商,任务数,证券代码,市场类别,买卖方向1,买卖方向2,开始时间,结束时间,下单时间
6880872434086000062,20230614,7027,0,103,多策略,58200,607,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000063,20230614,7027,0,103,多策略,29300,608,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000064,20230614,7027,0,103,多策略,1900,623,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000065,20230614,7027,0,103,多策略,42000,627,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000066,20230614,7027,0,103,多策略,1100,629,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000067,20230614,7027,0,103,多策略,3200,630,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000068,20230614,7027,0,103,多策略,26100,631,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000069,20230614,7027,0,103,多策略,700,636,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000070,20230614,7027,0,103,多策略,2100,638,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000071,20230614,7027,0,103,多策略,24200,639,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000072,20230614,7027,0,103,多策略,4300,651,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000073,20230614,7027,0,103,多策略,1100,652,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000074,20230614,7027,0,103,多策略,16100,655,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000075,20230614,7027,0,103,多策略,1644500,656,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000076,20230614,7027,0,103,多策略,36800,665,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000077,20230614,7027,0,103,多策略,22300,671,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000078,20230614,7027,0,103,多策略,22400,680,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000079,20230614,7027,0,103,多策略,49700,691,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000080,20230614,7027,0,103,多策略,400,698,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000081,20230614,7027,0,103,多策略,33700,701,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000082,20230614,7027,0,103,多策略,1400,708,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000083,20230614,7027,0,103,多策略,55000,709,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000084,20230614,7027,0,103,多策略,33300,715,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000085,20230614,7027,0,103,多策略,86900,717,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000086,20230614,7027,0,103,多策略,2600,720,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000087,20230614,7027,0,103,多策略,86700,725,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000088,20230614,7027,0,103,多策略,40200,726,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000089,20230614,7027,0,103,多策略,600,728,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000090,20230614,7027,0,103,多策略,300,737,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000091,20230614,7027,0,103,多策略,4800,739,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000092,20230614,7027,0,103,多策略,48700,750,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000093,20230614,7027,0,103,多策略,28500,751,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000094,20230614,7027,0,103,多策略,20400,755,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000095,20230614,7027,0,103,多策略,100,757,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000096,20230614,7027,0,103,多策略,100,758,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000097,20230614,7027,0,103,多策略,48800,759,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000098,20230614,7027,0,103,多策略,145500,761,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000099,20230614,7027,0,103,多策略,4800,766,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000100,20230614,7027,0,103,多策略,62300,778,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000101,20230614,7027,0,103,多策略,14400,783,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000102,20230614,7027,0,103,多策略,300,786,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000103,20230614,7027,0,103,多策略,100,789,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000104,20230614,7027,0,103,多策略,84600,790,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000105,20230614,7027,0,103,多策略,13900,792,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000106,20230614,7027,0,103,多策略,72500,793,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000107,20230614,7027,0,103,多策略,64000,797,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000108,20230614,7027,0,103,多策略,1200,799,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000109,20230614,7027,0,103,多策略,7100,800,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000110,20230614,7027,0,103,多策略,11600,801,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000111,20230614,7027,0,103,多策略,19400,807,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000112,20230614,7027,0,103,多策略,1400,815,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000113,20230614,7027,0,103,多策略,16100,820,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000114,20230614,7027,0,103,多策略,3700,823,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000115,20230614,7027,0,103,多策略,6000,829,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000116,20230614,7027,0,103,多策略,68600,838,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000117,20230614,7027,0,103,多策略,2100,850,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000118,20230614,7027,0,103,多策略,44300,851,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000119,20230614,7027,0,103,多策略,29800,852,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000120,20230614,7027,0,103,多策略,1000,856,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000121,20230614,7027,0,103,多策略,100,858,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000122,20230614,7027,0,103,多策略,2700,860,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000123,20230614,7027,0,103,多策略,900,862,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000124,20230614,7027,0,103,多策略,120100,875,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000125,20230614,7027,0,103,多策略,10000,878,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000126,20230614,7027,0,103,多策略,175300,882,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000127,20230614,7027,0,103,多策略,6200,886,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000128,20230614,7027,0,103,多策略,11000,887,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000129,20230614,7027,0,103,多策略,50200,888,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000130,20230614,7027,0,103,多策略,55700,892,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000131,20230614,7027,0,103,多策略,71900,898,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000132,20230614,7027,0,103,多策略,111400,900,1,2,,20230614093000,20230614140000,20230614093000
6880872434086000133,20230614,7027,0,103,多策略,9900,903,1,1,,20230614093000,20230614140000,20230614093000
6880872434086000134,20230614,7027,0,103,多策略,1800,905,1,1,,20230614093000,20230614140000,20230614093000
