算法子单编号,算法母单编号,交易日期,市场类别,资金账户名称,算法类型,算法实例,算法供应商,证券代码,委托类型,买卖方向,委托价格,委托数量,委托时间,成交价格,成交数量,委托时间,委托状态,手续费
6600527342030000000,6880527336830003900,20230601,2,202305181001,1,103,多策略,600675,1,2,2.83,100,20230601093003,0.0,0,20230601093003,5,0.0
6600527342030000100,6880527337660004100,20230601,2,202304181002,1,103,多策略,600675,1,2,2.83,400,20230601093003,0.0,0,20230601093003,5,0.0
6600527342050000000,6880527336830005500,20230601,1,202305181001,1,103,多策略,000517,1,1,2.91,500,20230601093005,2.91,500,20230601093005,4,0.11
6600527342050000100,6880527337660005900,20230601,1,202304181002,1,103,多策略,000517,1,1,2.91,3900,20230601093005,2.91,3900,20230601093005,4,0.89
6600527342050000200,6880527336830001900,20230601,1,202305181001,1,103,多策略,002042,1,2,3.18,300,20230601093005,0.0,0,20230601093005,5,0.0
6600527342050000300,6880527336830001500,20230601,1,202305181001,1,103,多策略,002239,1,2,2.52,500,20230601093005,2.52,500,20230601093005,4,1.36
6600527342050000400,6880527337660002100,20230601,1,202304181002,1,103,多策略,002042,1,2,3.18,1200,20230601093005,0.0,0,20230601093005,5,0.0
6600527342050000500,6880527337660001900,20230601,1,202304181002,1,103,多策略,002239,1,2,2.52,2600,20230601093005,2.52,2600,20230601093005,4,7.07
6600527342050000600,6880527336830005300,20230601,2,202305181001,1,103,多策略,603609,1,2,9.25,500,20230601093005,0.0,0,20230601093005,5,0.0
6600527342050000700,6880527337660005300,20230601,2,202304181002,1,103,多策略,603609,1,2,9.25,1900,20230601093005,0.0,0,20230601093005,5,0.0
6600527342060000000,6880527337660000900,20230601,1,202304181002,1,103,多策略,000088,1,2,4.92,2200,20230601093006,4.92,2200,20230601093006,4,11.68
6600527342060000100,6880527337660000100,20230601,1,202304181002,1,103,多策略,000582,1,2,7.97,16300,20230601093006,7.97,16300,20230601093006,4,140.13
6600527342060000200,6880527336830003900,20230601,2,202305181001,1,103,多策略,600675,1,2,2.82,1600,20230601093006,2.82,1600,20230601093006,4,4.87
6600527342060000300,6880527337660007700,20230601,1,202304181002,1,103,多策略,300457,1,1,17.51,1300,20230601093006,0.0,0,20230601093006,5,0.0
6600527342060000400,6880527337660004100,20230601,2,202304181002,1,103,多策略,600675,1,2,2.82,10100,20230601093006,2.82,10100,20230601093006,4,30.72
6600527342060000500,6880527336830007700,20230601,1,202305181001,1,103,多策略,300457,1,1,17.51,300,20230601093006,0.0,0,20230601093006,5,0.0
6600527342070000000,6880527337660001100,20230601,1,202304181002,1,103,多策略,000968,1,2,7.74,1400,20230601093007,7.74,1400,20230601093007,4,11.69
6600527342070000100,6880527337660008900,20230601,2,202304181002,1,103,多策略,600577,1,1,4.18,24200,20230601093007,4.18,24200,20230601093007,4,7.96
6600527342080000000,6880527337660001900,20230601,1,202304181002,1,103,多策略,002239,1,2,2.52,200,20230601093008,2.52,200,20230601093008,4,0.54
6600527342080000100,6880527337660007700,20230601,1,202304181002,1,103,多策略,300457,1,1,17.54,1000,20230601093008,17.54,1000,20230601093008,4,1.38
6600527342090000000,6880527336830007700,20230601,1,202305181001,1,103,多策略,300457,1,1,17.53,400,20230601093009,17.53,400,20230601093009,4,0.55
6600527342090000100,6880527336830003900,20230601,2,202305181001,1,103,多策略,600675,1,2,2.83,500,20230601093009,0.0,0,20230601093009,5,0.0
6600527342090000200,6880527337660004100,20230601,2,202304181002,1,103,多策略,600675,1,2,2.83,3700,20230601093009,0.0,0,20230601093009,5,0.0
6600527342090000300,6880527337660003500,20230601,2,202304181002,1,103,多策略,600403,1,2,4.13,2300,20230601093009,4.13,2300,20230601093009,4,10.25
6600527342090000400,6880527337660010100,20230601,2,202304181002,1,103,多策略,603612,1,1,18.3,1500,20230601093009,18.31,1500,20230601093009,4,2.16
6600527342090000500,6880527336830003500,20230601,2,202305181001,1,103,多策略,600403,1,2,4.13,400,20230601093009,4.13,400,20230601093009,4,1.78
6600527342110000000,6880527336830006100,20230601,1,202305181001,1,103,多策略,002435,1,1,4.71,300,20230601093011,4.71,300,20230601093011,4,0.11
6600527342110000100,6880527337660006300,20230601,1,202304181002,1,103,多策略,002435,1,1,4.71,800,20230601093011,4.71,800,20230601093011,4,0.3
6600527342110000200,6880527337660002100,20230601,1,202304181002,1,103,多策略,002042,1,2,3.18,500,20230601093011,0.0,0,20230601093011,5,0.0
6600527342110000300,6880527336830003500,20230601,2,202305181001,1,103,多策略,600403,1,2,4.13,100,20230601093011,4.14,100,20230601093011,4,0.45
6600527342110000400,6880527337660003500,20230601,2,202304181002,1,103,多策略,600403,1,2,4.13,500,20230601093011,4.14,500,20230601093011,4,2.23
6600527342110000500,6880527336830003700,20230601,2,202305181001,1,103,多策略,600120,1,2,3.9,700,20230601093011,3.9,700,20230601093011,4,2.94
6600527342110000600,6880527336830001900,20230601,1,202305181001,1,103,多策略,002042,1,2,3.18,100,20230601093011,0.0,0,20230601093011,5,0.0
6600527342110000700,6880527337660003300,20230601,2,202304181002,1,103,多策略,600120,1,2,3.9,7100,20230601093011,3.9,7100,20230601093011,4,29.87
6600527342120000000,6880527337660007100,20230601,1,202304181002,1,103,多策略,002950,1,1,11.01,300,20230601093012,11.01,300,20230601093012,4,0.26
6600527342130000000,6880527336830004100,20230601,2,202305181001,1,103,多策略,600688,1,2,3.15,300,20230601093013,3.15,300,20230601093013,4,1.02
6600527342130000100,6880527336830008700,20230601,2,202305181001,1,103,多策略,600577,1,1,4.18,2600,20230601093013,4.18,2600,20230601093013,4,0.86
6600527342130000200,6880527337660004500,20230601,2,202304181002,1,103,多策略,600688,1,2,3.15,1800,20230601093013,3.15,1800,20230601093013,4,6.12
6600527342140000000,6880527337660007100,20230601,1,202304181002,1,103,多策略,002950,1,1,11.01,2800,20230601093014,11.01,2800,20230601093014,4,2.43
6600527342140000100,6880527336830003700,20230601,2,202305181001,1,103,多策略,600120,1,2,3.9,700,20230601093014,3.9,700,20230601093014,4,2.94
6600527342140000200,6880527337660001900,20230601,1,202304181002,1,103,多策略,002239,1,2,2.52,200,20230601093014,2.52,200,20230601093014,4,0.54
6600527342140000300,6880527337660003300,20230601,2,202304181002,1,103,多策略,600120,1,2,3.9,7100,20230601093014,3.9,7100,20230601093014,4,29.87
6600527342150000000,6880527336830000100,20230601,1,202305181001,1,103,多策略,000088,1,2,4.93,100,20230601093015,4.93,100,20230601093015,4,0.53
6600527342150000100,6880527336830003700,20230601,2,202305181001,1,103,多策略,600120,1,2,3.91,200,20230601093015,3.91,200,20230601093015,4,0.84
6600527342150000200,6880527337660000900,20230601,1,202304181002,1,103,多策略,000088,1,2,4.93,100,20230601093015,4.93,100,20230601093015,4,0.53
6600527342150000300,6880527337660003300,20230601,2,202304181002,1,103,多策略,600120,1,2,3.91,1300,20230601093015,3.91,1300,20230601093015,4,5.48
6600527342160000000,6880527336830004100,20230601,2,202305181001,1,103,多策略,600688,1,2,3.15,200,20230601093016,3.15,200,20230601093016,4,0.68
6600527342160000100,6880527337660004500,20230601,2,202304181002,1,103,多策略,600688,1,2,3.15,1300,20230601093016,3.15,1300,20230601093016,4,4.42
6600527342160000200,6880527337660010500,20230601,2,202304181002,1,103,多策略,603960,1,1,17.61,500,20230601093016,17.61,500,20230601093016,4,0.69
6600527342170000000,6880527337660001900,20230601,1,202304181002,1,103,多策略,002239,1,2,2.52,800,20230601093017,2.52,800,20230601093017,4,2.17
6600527342170000100,6880527336830007900,20230601,1,202305181001,1,103,多策略,300477,1,1,4.57,400,20230601093017,4.57,400,20230601093017,4,0.14
6600527342170000200,6880527337660007900,20230601,1,202304181002,1,103,多策略,300477,1,1,4.57,2100,20230601093017,4.57,2100,20230601093017,4,0.76
6600527342190000000,6880527336830004100,20230601,2,202305181001,1,103,多策略,600688,1,2,3.15,200,20230601093019,3.15,200,20230601093019,4,0.68
6600527342190000100,6880527337660004500,20230601,2,202304181002,1,103,多策略,600688,1,2,3.15,1100,20230601093019,3.15,1100,20230601093019,4,3.74
6600527342200000000,6880527336830001900,20230601,1,202305181001,1,103,多策略,002042,1,2,3.17,1200,20230601093020,3.17,1200,20230601093020,4,4.1
6600527342200000100,6880527336830000100,20230601,1,202305181001,1,103,多策略,000088,1,2,4.93,100,20230601093020,4.93,100,20230601093020,4,0.53
6600527342200000200,6880527337660002100,20230601,1,202304181002,1,103,多策略,002042,1,2,3.17,6500,20230601093020,3.17,6500,20230601093020,4,22.23
6600527342200000300,6880527337660000900,20230601,1,202304181002,1,103,多策略,000088,1,2,4.93,200,20230601093020,4.93,200,20230601093020,4,1.06
6600527342220000000,6880527337660008500,20230601,2,202304181002,1,103,多策略,600366,1,1,7.79,14300,20230601093022,7.79,14300,20230601093022,4,8.77
6600527342220000100,6880527337660004500,20230601,2,202304181002,1,103,多策略,600688,1,2,3.15,8700,20230601093022,3.15,8700,20230601093022,4,29.56
6600527342220000200,6880527336830004100,20230601,2,202305181001,1,103,多策略,600688,1,2,3.15,1000,20230601093022,3.15,1000,20230601093022,4,3.4
6600527342250000000,6880527336830004100,20230601,2,202305181001,1,103,多策略,600688,1,2,3.15,100,20230601093025,3.15,100,20230601093025,4,0.34
6600527342250000100,6880527337660004500,20230601,2,202304181002,1,103,多策略,600688,1,2,3.15,400,20230601093025,3.15,400,20230601093025,4,1.36
6600527342270000000,6880527336830006100,20230601,1,202305181001,1,103,多策略,002435,1,1,4.71,200,20230601093027,4.71,200,20230601093027,4,0.07
6600527342270000100,6880527337660006300,20230601,1,202304181002,1,103,多策略,002435,1,1,4.71,500,20230601093027,4.71,500,20230601093027,4,0.19
6600527342290000000,6880527336830006100,20230601,1,202305181001,1,103,多策略,002435,1,1,4.7,700,20230601093029,4.7,700,20230601093029,4,0.26
6600527342290000100,6880527336830003500,20230601,2,202305181001,1,103,多策略,600403,1,2,4.13,400,20230601093029,4.13,400,20230601093029,4,1.78
6600527342290000200,6880527337660006300,20230601,1,202304181002,1,103,多策略,002435,1,1,4.7,3000,20230601093029,4.7,3000,20230601093029,4,1.11
6600527342290000300,6880527337660003500,20230601,2,202304181002,1,103,多策略,600403,1,2,4.13,2200,20230601093029,4.13,2200,20230601093029,4,9.8
6600527342320000000,6880527336830003500,20230601,2,202305181001,1,103,多策略,600403,1,2,4.13,400,20230601093032,4.13,400,20230601093032,4,1.78
6600527342320000100,6880527337660003500,20230601,2,202304181002,1,103,多策略,600403,1,2,4.13,2300,20230601093032,4.13,2300,20230601093032,4,10.25
6600527342330000000,6880527336830003700,20230601,2,202305181001,1,103,多策略,600120,1,2,3.91,100,20230601093033,3.91,100,20230601093033,4,0.42
6600527342330000100,6880527337660003300,20230601,2,202304181002,1,103,多策略,600120,1,2,3.91,100,20230601093033,3.91,100,20230601093033,4,0.42
6600527342420000000,6880527337660006100,20230601,1,202304181002,1,103,多策略,000791,1,1,5.31,8000,20230601093042,5.31,8000,20230601093042,4,3.34
6600527342430000000,6880527337660000900,20230601,1,202304181002,1,103,多策略,000088,1,2,4.93,100,20230601093043,4.93,100,20230601093043,4,0.53
6600527342430000100,6880527336830000100,20230601,1,202305181001,1,103,多策略,000088,1,2,4.93,100,20230601093043,4.93,100,20230601093043,4,0.53
6600527342430000200,6880527336830004100,20230601,2,202305181001,1,103,多策略,600688,1,2,3.15,100,20230601093043,3.15,100,20230601093043,4,0.34
6600527342430000300,6880527337660004500,20230601,2,202304181002,1,103,多策略,600688,1,2,3.15,500,20230601093043,3.15,500,20230601093043,4,1.7
6600527342440000000,6880527336830003500,20230601,2,202305181001,1,103,多策略,600403,1,2,4.13,100,20230601093044,4.13,100,20230601093044,4,0.45
6600527342440000100,6880527337660006100,20230601,1,202304181002,1,103,多策略,000791,1,1,5.32,6600,20230601093044,5.32,6600,20230601093044,4,2.76
6600527342440000200,6880527337660003500,20230601,2,202304181002,1,103,多策略,600403,1,2,4.13,100,20230601093044,4.13,100,20230601093044,4,0.45
6600527342470000000,6880527336830007900,20230601,1,202305181001,1,103,多策略,300477,1,1,4.57,100,20230601093047,4.57,100,20230601093047,4,0.04
6600527342470000100,6880527337660007900,20230601,1,202304181002,1,103,多策略,300477,1,1,4.57,200,20230601093047,4.57,200,20230601093047,4,0.07
6600527342480000000,6880527336830003700,20230601,2,202305181001,1,103,多策略,600120,1,2,3.91,100,20230601093048,3.91,100,20230601093048,4,0.42
6600527342480000100,6880527337660003300,20230601,2,202304181002,1,103,多策略,600120,1,2,3.91,500,20230601093048,3.91,500,20230601093048,4,2.11
6600527342490000000,6880527336830004100,20230601,2,202305181001,1,103,多策略,600688,1,2,3.15,300,20230601093049,3.15,300,20230601093049,4,1.02
6600527342490000100,6880527337660004500,20230601,2,202304181002,1,103,多策略,600688,1,2,3.15,2300,20230601093049,3.15,2300,20230601093049,4,7.82
6600527342500000000,6880527336830003500,20230601,2,202305181001,1,103,多策略,600403,1,2,4.13,100,20230601093050,4.13,100,20230601093050,4,0.45
6600527342500000100,6880527337660003500,20230601,2,202304181002,1,103,多策略,600403,1,2,4.13,100,20230601093050,4.13,100,20230601093050,4,0.45
6600527342520000000,6880527336830004100,20230601,2,202305181001,1,103,多策略,600688,1,2,3.15,500,20230601093052,3.15,500,20230601093052,4,1.7
6600527342520000100,6880527337660004500,20230601,2,202304181002,1,103,多策略,600688,1,2,3.15,5200,20230601093052,3.15,5200,20230601093052,4,17.67
6600527342530000000,6880527336830003500,20230601,2,202305181001,1,103,多策略,600403,1,2,4.13,100,20230601093053,4.14,100,20230601093053,4,0.45
6600527342530000100,6880527337660003500,20230601,2,202304181002,1,103,多策略,600403,1,2,4.13,100,20230601093053,4.14,100,20230601093053,4,0.45
6600527342550000000,6880527336830004100,20230601,2,202305181001,1,103,多策略,600688,1,2,3.15,300,20230601093055,3.15,300,20230601093055,4,1.02
6600527342550000100,6880527337660004500,20230601,2,202304181002,1,103,多策略,600688,1,2,3.15,4300,20230601093055,3.15,4300,20230601093055,4,14.61
6600527342560000000,6880527336830000100,20230601,1,202305181001,1,103,多策略,000088,1,2,4.92,100,20230601093056,4.92,100,20230601093056,4,0.53
6600527342560000100,6880527337660000900,20230601,1,202304181002,1,103,多策略,000088,1,2,4.92,600,20230601093056,4.92,600,20230601093056,4,3.18
6600527342560000200,6880527337660003500,20230601,2,202304181002,1,103,多策略,600403,1,2,4.13,100,20230601093056,4.14,100,20230601093056,4,0.45
6600527342590000000,6880527336830000100,20230601,1,202305181001,1,103,多策略,000088,1,2,4.92,100,20230601093059,4.92,100,20230601093059,4,0.53
6600527342590000100,6880527337660000900,20230601,1,202304181002,1,103,多策略,000088,1,2,4.92,100,20230601093059,4.92,100,20230601093059,4,0.53
6600527342610000000,6880527336830007900,20230601,1,202305181001,1,103,多策略,300477,1,1,4.57,400,20230601093101,4.57,400,20230601093101,4,0.14
6600527342610000100,6880527337660007900,20230601,1,202304181002,1,103,多策略,300477,1,1,4.57,2100,20230601093101,4.57,2100,20230601093101,4,0.76
6600527342620000000,6880527336830003500,20230601,2,202305181001,1,103,多策略,600403,1,2,4.13,200,20230601093102,4.13,200,20230601093102,4,0.89
6600527342620000100,6880527337660003500,20230601,2,202304181002,1,103,多策略,600403,1,2,4.13,2200,20230601093102,4.13,2200,20230601093102,4,9.8
6600527342630000000,6880527337660003300,20230601,2,202304181002,1,103,多策略,600120,1,2,3.9,6400,20230601093103,3.9,6400,20230601093103,4,26.92
6600527342630000100,6880527336830003700,20230601,2,202305181001,1,103,多策略,600120,1,2,3.9,500,20230601093103,3.9,500,20230601093103,4,2.1
6600527342650000000,6880527337660005900,20230601,1,202304181002,1,103,多策略,000517,1,1,2.91,2800,20230601093105,2.91,2800,20230601093105,4,0.64
6600527342650000100,6880527337660003500,20230601,2,202304181002,1,103,多策略,600403,1,2,4.13,100,20230601093105,4.14,100,20230601093105,4,0.45
6600527342650000200,6880527336830005500,20230601,1,202305181001,1,103,多策略,000517,1,1,2.91,300,20230601093105,2.91,300,20230601093105,4,0.07
6600527342660000000,6880527336830000100,20230601,1,202305181001,1,103,多策略,000088,1,2,4.92,100,20230601093106,4.92,100,20230601093106,4,0.53
6600527342660000100,6880527337660000900,20230601,1,202304181002,1,103,多策略,000088,1,2,4.92,600,20230601093106,4.92,600,20230601093106,4,3.18
6600527342670000000,6880527336830007900,20230601,1,202305181001,1,103,多策略,300477,1,1,4.57,700,20230601093107,4.57,700,20230601093107,4,0.25
