算法子单编号,算法母单编号,交易日期,市场类别,资金账户名称,算法类型,算法实例,算法供应商,证券代码,委托类型,买卖方向,委托价格,委托数量,委托时间,成交价格,成交数量,成交时间,委托状态,手续费
2350260602067742721,6880872434086000061,20230614,1,7027,0,103,多策略,599,1,1,4.21,100,20230614093000,4.21,100,20230614093000,4,0.01
2350260602067742723,6880872434086000012,20230614,1,7027,0,103,多策略,60,1,2,4.91,200,20230614093000,4.91,200,20230614093000,4,1.0
2350260602067742722,6880872434086000032,20230614,1,7027,0,103,多策略,488,1,2,4.87,900,20230614093000,0.0,0,20230614093000,5,4.47
2350260602067742724,6880872434086000033,20230614,1,7027,0,103,多策略,506,1,1,4.06,4700,20230614093000,4.06,4700,20230614093000,4,0.38
2350260670787219460,6880872434086000067,20230614,1,7027,0,103,多策略,630,1,2,2.91,2000,20230614093000,2.91,2000,20230614093000,4,5.94
2350260670787219466,6880872434086000092,20230614,1,7027,0,103,多策略,750,1,2,3.4,2400,20230614093000,3.4,2400,20230614093000,4,8.32
2350260670787219462,6880872434086000042,20230614,1,7027,0,103,多策略,536,1,2,1.84,100,20230614093000,0.0,0,20230614093000,5,0.19
2350260739506696193,6880872434086000040,20230614,1,7027,0,103,多策略,533,1,1,4.19,300,20230614093001,4.19,300,20230614093001,4,0.03
2350260739506696198,6880872434086000026,20230614,1,7027,0,103,多策略,413,1,2,1.69,6100,20230614093001,1.69,6100,20230614093001,4,10.52
2350260739506696199,6880872434086000095,20230614,1,7027,0,103,多策略,757,1,1,4.07,100,20230614093001,0.0,0,20230614093001,5,0.01
2350260808226172933,6880872434086000052,20230614,1,7027,0,103,多策略,563,1,2,3.13,6000,20230614093000,3.13,6000,20230614093000,4,19.16
2350260808226172931,6880872434086000036,20230614,1,7027,0,103,多策略,518,1,2,2.62,100,20230614093000,0.0,0,20230614093000,5,0.27
2350260808226172936,6880872434086000099,20230614,1,7027,0,103,多策略,766,1,2,4.79,500,20230614093000,0.0,0,20230614093000,5,2.44
2350260876945649664,6880872434086000063,20230614,1,7027,0,103,多策略,608,1,1,2.77,1100,20230614093000,0.0,0,20230614093000,5,0.06
2350260808226172937,6880872434086000029,20230614,1,7027,0,103,多策略,420,1,2,3.39,1000,20230614093001,0.0,0,20230614093001,5,3.46
2350260876945649669,6880872434086000100,20230614,1,7027,0,103,多策略,778,1,1,4.14,2800,20230614093001,4.14,2800,20230614093001,4,0.23
2350260876945649670,6880872434086000080,20230614,1,7027,0,103,多策略,698,1,2,3.99,100,20230614093000,0.0,0,20230614093000,5,0.41
2350260876945649673,6880872434086000117,20230614,1,7027,0,103,多策略,850,1,2,3.86,100,20230614093001,0.0,0,20230614093001,5,0.39
2350260945665126400,6880872434086000066,20230614,1,7027,0,103,多策略,629,1,1,3.86,1100,20230614093000,3.86,1100,20230614093000,4,0.08
2350260945665126401,6880872434086000050,20230614,1,7027,0,103,多策略,558,1,2,3.31,9000,20230614093000,3.33,9000,20230614093000,4,30.39
2350261014384603136,6880872434086000071,20230614,1,7027,0,103,多策略,639,1,2,4.17,600,20230614093000,0.0,0,20230614093000,5,2.55
2350261014384603139,6880872434086000073,20230614,1,7027,0,103,多策略,652,1,1,4.08,300,20230614093000,0.0,0,20230614093000,5,0.02
2350261014384603140,6880872434086000068,20230614,1,7027,0,103,多策略,631,1,2,2.91,800,20230614093001,2.91,800,20230614093001,4,2.37
2350261083104079874,6880872434086000086,20230614,1,7027,0,103,多策略,720,1,1,4.97,200,20230614093000,4.97,200,20230614093000,4,0.02
2350261151823556608,6880872434086000083,20230614,1,7027,0,103,多策略,709,1,2,2.27,9000,20230614093001,0.0,0,20230614093001,5,20.84
2350261151823556614,6880872434086000097,20230614,1,7027,0,103,多策略,759,1,1,4.69,800,20230614093000,4.69,800,20230614093000,4,0.08
2350261151823556611,6880872434086000154,20230614,1,7027,0,103,多策略,961,1,1,1.5,12500,20230614093001,0.0,0,20230614093001,9,0.38
2350261151823556613,6880872434086000158,20230614,1,7027,0,103,多策略,973,1,2,4.49,500,20230614093000,0.0,0,20230614093000,5,2.29
2350261220543033345,6880872432980000028,20230614,1,7040,0,103,多策略,2075,1,2,4.03,100,20230614093000,4.03,100,20230614093000,4,0.41
2350261220543033349,6880872433386000193,20230614,1,7028,0,103,多策略,2075,1,2,4.03,100,20230614093000,4.03,100,20230614093000,4,0.41
2350261220543033351,6880872434086000173,20230614,1,7027,0,103,多策略,2002,1,2,2.2,800,20230614093001,2.2,800,20230614093001,4,1.8
2350261289262510080,6880872434086000094,20230614,1,7027,0,103,多策略,755,1,2,4.93,100,20230614093000,4.93,100,20230614093000,4,0.5
2350261289262510081,6880872434086000212,20230614,1,7027,0,103,多策略,2118,1,2,0.39,19300,20230614093000,0.0,0,20230614093000,5,7.68
2350261289262510083,6880872434086000130,20230614,1,7027,0,103,多策略,892,1,1,4.78,5700,20230614093001,0.0,0,20230614093001,7,0.54
2350261289262510084,6880872432980000012,20230614,1,7040,0,103,多策略,761,1,2,4.16,1600,20230614093000,4.2,1600,20230614093000,4,6.79
2350261289262510086,6880872433386000118,20230614,1,7028,0,103,多策略,761,1,2,4.16,300,20230614093000,4.2,300,20230614093000,4,1.27
2350261357981986818,6880872434086000116,20230614,1,7027,0,103,多策略,838,1,1,3.79,900,20230614093000,0.0,0,20230614093000,5,0.07
2350261357981986819,6880872434086000098,20230614,1,7027,0,103,多策略,761,1,2,4.16,1400,20230614093001,4.19,1400,20230614093001,4,5.94
2350261495420940289,6880872434086000126,20230614,1,7027,0,103,多策略,882,1,2,1.72,23400,20230614093001,1.72,23400,20230614093001,4,41.05
2350261495420940291,6880872434086000152,20230614,1,7027,0,103,多策略,958,1,2,4.27,2000,20230614093000,0.0,0,20230614093000,5,8.71
2350261564140417027,6880872434086000132,20230614,1,7027,0,103,多策略,900,1,2,4.25,3800,20230614093000,4.25,3800,20230614093000,4,16.47
2350261564140417029,6880872434086000257,20230614,1,7027,0,103,多策略,2239,1,1,2.63,5700,20230614093000,2.63,5700,20230614093000,4,0.3
2350261564140417031,6880872434086000207,20230614,1,7027,0,103,多策略,2110,1,2,4.45,200,20230614093000,4.45,200,20230614093000,4,0.91
2350261564140417035,6880872434086000160,20230614,1,7027,0,103,多策略,980,1,1,2.59,7900,20230614093001,2.59,7900,20230614093001,4,0.41
2350261632859893763,6880872434086000142,20230614,1,7027,0,103,多策略,926,1,1,4.34,4000,20230614093000,0.0,0,20230614093000,5,0.35
2350261632859893766,6880872434086000161,20230614,1,7027,0,103,多策略,982,1,2,1.56,15900,20230614093000,0.0,0,20230614093000,5,25.3
2350261976457277443,6880872434086000221,20230614,1,7027,0,103,多策略,2133,1,2,3.59,600,20230614093000,3.59,600,20230614093000,4,2.2
2350261976457277441,6880872434086000260,20230614,1,7027,0,103,多策略,2247,1,1,2.37,3000,20230614093000,2.37,3000,20230614093000,4,0.14
2350261976457277444,6880872434086000227,20230614,1,7027,0,103,多策略,2146,1,1,1.72,72200,20230614093000,1.72,72200,20230614093000,4,2.48
2350261976457277445,6880872434086000295,20230614,1,7027,0,103,多策略,2370,1,2,4.12,1100,20230614093001,0.0,0,20230614093001,5,4.62
2350262045176754176,6880872434086000320,20230614,1,7027,0,103,多策略,2437,1,2,1.97,2700,20230614093000,0.0,0,20230614093000,5,5.43
2350262045176754177,6880872434086000269,20230614,1,7027,0,103,多策略,2280,1,1,3.6,2600,20230614093000,3.6,2600,20230614093000,4,0.19
2350262182615707650,6880872434086000290,20230614,1,7027,0,103,多策略,2355,1,1,5.41,2800,20230614093000,0.0,0,20230614093000,5,0.3
2350262182615707648,6880872434086000238,20230614,1,7027,0,103,多策略,2178,1,1,3.74,700,20230614093000,0.0,0,20230614093000,7,0.05
2350262182615707649,6880872434086000381,20230614,1,7027,0,103,多策略,2624,1,1,18.9,600,20230614093000,18.85,600,20230614093000,4,0.23
2350262251335184384,6880872434086000390,20230614,1,7027,0,103,多策略,2652,1,1,2.63,500,20230614093001,0.0,0,20230614093001,5,0.03
2350262251335184387,6880872434086000409,20230614,1,7027,0,103,多策略,2701,1,2,4.48,200,20230614093001,0.0,0,20230614093001,5,0.91
2350262251335184386,6880872433386000180,20230614,1,7028,0,103,多策略,2266,1,1,4.01,800,20230614093000,4.01,800,20230614093000,4,0.06
2350262320054661120,6880872434086000305,20230614,1,7027,0,103,多策略,2397,1,1,3.3,600,20230614093001,3.3,600,20230614093001,4,0.04
2350262320054661123,6880872434086000380,20230614,1,7027,0,103,多策略,2622,1,2,3.2,100,20230614093001,0.0,0,20230614093001,5,0.33
2350262320054661124,6880872434086000263,20230614,1,7027,0,103,多策略,2266,1,2,4.02,4100,20230614093001,4.02,4100,20230614093001,4,16.81
2350262320054661128,6880872434086000402,20230614,1,7027,0,103,多策略,2676,1,2,3.89,200,20230614093000,0.0,0,20230614093000,5,0.79
2350262388774137859,6880872434086000339,20230614,1,7027,0,103,多策略,2496,1,1,2.3,500,20230614093000,2.3,500,20230614093000,4,0.02
2350262388774137862,6880872434086000342,20230614,1,7027,0,103,多策略,2506,1,1,2.88,2000,20230614093000,2.88,2000,20230614093000,4,0.12
2350262457493614593,6880872434086000453,20230614,1,7027,0,103,多策略,2839,1,2,4.31,2000,20230614093001,4.31,2000,20230614093001,4,8.79
2350262594932568064,6880872434086000495,20230614,1,7027,0,103,多策略,2948,1,2,3.37,800,20230614093000,3.37,800,20230614093000,4,2.75
2350262594932568066,6880872434086000341,20230614,1,7027,0,103,多策略,2501,1,2,1.55,8800,20230614093000,0.0,0,20230614093000,5,13.91
2350262663652044802,6880872434086000505,20230614,1,7027,0,103,多策略,2969,1,2,3.98,1300,20230614093000,0.0,0,20230614093000,5,5.28
2350262732371521536,6880872434086000336,20230614,1,7027,0,103,多策略,2489,1,2,4.05,200,20230614093000,0.0,0,20230614093000,5,0.83
2350262732371521540,6880872434086000389,20230614,1,7027,0,103,多策略,2650,1,1,3.88,2600,20230614093001,0.0,0,20230614093001,5,0.2
2350262801090998272,6880872434086000393,20230614,1,7027,0,103,多策略,2662,1,1,3.22,3500,20230614093000,3.22,3500,20230614093000,4,0.23
2350262801090998274,6880872434086000368,20230614,1,7027,0,103,多策略,2593,1,2,3.73,1800,20230614093001,3.73,1800,20230614093001,4,6.85
2350262869810475009,6880872434086000415,20230614,1,7027,0,103,多策略,2717,1,1,3.6,2700,20230614093000,0.0,0,20230614093000,9,0.19
2350262938529951746,6880872434086000571,20230614,1,7027,0,103,多策略,300152,1,1,2.78,400,20230614093001,2.78,400,20230614093001,4,0.02
2350262938529951747,6880872434086000575,20230614,1,7027,0,103,多策略,300163,1,1,3.17,900,20230614093001,3.17,900,20230614093001,4,0.06
2350263075968905216,6880872434086000585,20230614,1,7027,0,103,多策略,300190,1,2,4.01,100,20230614093000,0.0,0,20230614093000,5,0.41
2350263144688381952,6880872434086000618,20230614,1,7027,0,103,多策略,300324,1,1,3.19,800,20230614093000,3.19,800,20230614093000,4,0.05
2350263213407858688,6880872434086000427,20230614,1,7027,0,103,多策略,2752,1,1,4.69,1000,20230614093000,4.69,1000,20230614093000,4,0.09
2350263282127335425,6880872434086000626,20230614,1,7027,0,103,多策略,300350,1,2,4.53,100,20230614093001,4.53,100,20230614093001,4,0.46
2350263282127335427,6880872434086000526,20230614,1,7027,0,103,多策略,300006,1,1,3.56,3900,20230614093000,3.56,3900,20230614093000,4,0.28
2350263419566288897,6880872434086000547,20230614,1,7027,0,103,多策略,300074,1,1,4.48,1200,20230614093000,4.48,1200,20230614093000,4,0.11
2350263557005242368,6880872434086000007,20230614,1,7027,0,103,多策略,31,1,2,3.91,600,20230614093000,3.91,600,20230614093000,4,2.39
2350263557005242369,6880872433386000116,20230614,1,7028,0,103,多策略,300185,1,1,2.54,2900,20230614093001,2.54,2900,20230614093001,4,0.15
2350257784569196544,6880872434086000027,20230614,1,7027,0,103,多策略,415,1,2,2.18,1700,20230614093000,2.18,1700,20230614093000,4,3.78
2350263625724719104,6880872434086000584,20230614,1,7027,0,103,多策略,300185,1,2,2.55,4900,20230614093000,0.0,0,20230614093000,5,12.74
2350263625724719107,6880872434086000539,20230614,1,7027,0,103,多策略,300043,1,2,4.35,800,20230614093001,0.0,0,20230614093001,7,3.55
2350263625724719109,6880872434086000001,20230614,1,7027,0,103,多策略,10,1,1,2.33,2300,20230614093000,2.33,2300,20230614093000,4,0.11
2350263694444195840,6880872434086000028,20230614,1,7027,0,103,多策略,417,1,2,4.9,100,20230614093001,4.9,100,20230614093001,4,0.5
2350263694444195843,6880872432980000070,20230614,1,7040,0,103,多策略,300308,1,1,124.03,600,20230614093001,123.13,600,20230614093001,4,1.49
2350263694444195849,6880872434086000553,20230614,1,7027,0,103,多策略,300098,1,2,3.81,5000,20230614093001,0.0,0,20230614093001,5,19.43
2350263763163672577,6880872434086000017,20230614,1,7027,0,103,多策略,100,1,2,3.85,7600,20230614093001,0.0,0,20230614093001,5,29.85
2350263763163672580,6880872434086000011,20230614,1,7027,0,103,多策略,55,1,2,4.77,100,20230614093000,0.0,0,20230614093000,5,0.49
2350263831883149314,6880872434086000022,20230614,1,7027,0,103,多策略,402,1,1,4.79,1500,20230614093001,0.0,0,20230614093001,5,0.14
2350263831883149316,6880872434086000606,20230614,1,7027,0,103,多策略,300287,1,2,4.14,300,20230614093001,0.0,0,20230614093001,5,1.27
2350263831883149319,6880872434086000035,20230614,1,7027,0,103,多策略,517,1,2,3.12,2300,20230614093000,3.12,2300,20230614093000,4,7.32
2350263831883149323,6880872434086000635,20230614,1,7027,0,103,多策略,300375,1,1,3.88,200,20230614093000,3.88,200,20230614093000,4,0.02
2350263900602626048,6880872434086000015,20230614,1,7027,0,103,多策略,88,1,2,4.97,100,20230614093000,4.97,100,20230614093000,4,0.51
2350263900602626049,6880872434086000576,20230614,1,7027,0,103,多策略,300164,1,2,4.41,2100,20230614093001,4.41,2100,20230614093001,4,9.45
2350263900602626053,6880872434086000051,20230614,1,7027,0,103,多策略,560,1,2,2.84,600,20230614093001,2.84,600,20230614093001,4,1.74
2350263969322102785,6880872434086000580,20230614,1,7027,0,103,多策略,300175,1,2,4.18,600,20230614093001,4.19,600,20230614093001,4,2.56
2350263969322102787,6880872434086000034,20230614,1,7027,0,103,多策略,514,1,2,4.0,6600,20230614093001,0.0,0,20230614093001,7,26.93
2350264038041579520,6880872434086000038,20230614,1,7027,0,103,多策略,523,1,1,3.36,9600,20230614093001,3.36,9600,20230614093001,4,0.65
2350264106761056257,6880872434086000047,20230614,1,7027,0,103,多策略,552,1,2,3.31,8000,20230614093000,3.31,8000,20230614093000,4,27.01
2350264106761056261,6880872434086000079,20230614,1,7027,0,103,多策略,691,1,1,4.15,400,20230614093001,4.15,400,20230614093001,4,0.03
2350264175480532993,6880872434086000085,20230614,1,7027,0,103,多策略,717,1,1,2.81,700,20230614093001,2.81,700,20230614093001,4,0.04
2350264312919486464,6880872434086000087,20230614,1,7027,0,103,多策略,725,1,2,3.99,11600,20230614093000,3.99,11600,20230614093000,4,47.21
2350264381638963200,6880872434086000065,20230614,1,7027,0,103,多策略,627,1,2,3.16,6700,20230614093000,3.16,6700,20230614093000,4,21.6
2350264450358439939,6880872432980000016,20230614,1,7040,0,103,多策略,898,1,1,2.86,8200,20230614093000,2.86,8200,20230614093000,4,0.47
2350264450358439940,6880872434086000093,20230614,1,7027,0,103,多策略,751,1,2,3.33,3800,20230614093001,3.33,3800,20230614093001,4,12.91
2350264519077916672,6880872433386000104,20230614,1,7028,0,103,多策略,898,1,1,2.86,3400,20230614093000,2.86,3400,20230614093000,4,0.19
2350264519077916676,6880872434086000096,20230614,1,7027,0,103,多策略,758,1,2,4.72,100,20230614093001,4.72,100,20230614093001,4,0.48
2350264519077916677,6880872434086000168,20230614,1,7027,0,103,多策略,1227,1,2,2.95,1000,20230614093000,2.95,1000,20230614093000,4,3.01
2350264519077916678,6880872434086000131,20230614,1,7027,0,103,多策略,898,1,2,2.87,5600,20230614093000,2.87,5600,20230614093000,4,16.39
2350264587797393409,6880872434086000827,20230614,2,7027,0,103,多策略,600035,1,2,4.16,100,20230614093001,4.16,100,20230614093001,4,0.42
2350264587797393410,6880872434086000106,20230614,1,7027,0,103,多策略,793,1,1,2.45,9700,20230614093000,2.45,9700,20230614093000,4,0.48
2350264587797393408,6880872434086000107,20230614,1,7027,0,103,多策略,797,1,1,3.2,1200,20230614093001,0.0,0,20230614093001,5,0.08
2350264587797393411,6880872434086000874,20230614,2,7027,0,103,多策略,600239,1,2,2.16,2000,20230614093001,0.0,0,20230614093001,5,4.41
2350264656516870149,6880872434086000113,20230614,1,7027,0,103,多策略,820,1,2,3.7,400,20230614093001,0.0,0,20230614093001,5,1.51
2350264725236346882,6880872434086000135,20230614,1,7027,0,103,多策略,908,1,2,2.66,1300,20230614093000,0.0,0,20230614093000,5,3.53
2350264725236346885,6880872434086000888,20230614,2,7027,0,103,多策略,600333,1,2,4.7,300,20230614093000,0.0,0,20230614093000,5,1.44
2350264793955823619,6880872434086000200,20230614,1,7027,0,103,多策略,2081,1,1,4.63,400,20230614093001,0.0,0,20230614093001,5,0.04
2350264793955823621,6880872434086000697,20230614,1,7027,0,103,多策略,300624,1,1,135.81,200,20230614093001,0.0,0,20230614093001,5,0.54
2350264862675300356,6880872434086000133,20230614,1,7027,0,103,多策略,903,1,1,2.41,200,20230614093001,2.41,200,20230614093001,4,0.01
2350264862675300357,6880872434086000153,20230614,1,7027,0,103,多策略,959,1,2,3.59,600,20230614093000,0.0,0,20230614093000,5,2.2
2350264862675300359,6880872434086000915,20230614,2,7027,0,103,多策略,600428,1,1,6.65,1700,20230614093001,6.65,1700,20230614093001,4,0.23
2350264862675300361,6880872434086000866,20230614,2,7027,0,103,多策略,600208,1,1,2.54,4800,20230614093001,0.0,0,20230614093001,5,0.24
2350264931394777090,6880872434086000156,20230614,1,7027,0,103,多策略,965,1,1,4.16,1300,20230614093000,0.0,0,20230614093000,5,0.11
2350265000114253825,6880872433069000013,20230614,1,7043,0,103,多策略,967,1,1,4.94,100,20230614093001,4.94,100,20230614093001,4,0.01
2350265000114253826,6880872433386000099,20230614,1,7028,0,103,多策略,967,1,1,4.94,100,20230614093001,4.94,100,20230614093001,4,0.01
2350265000114253830,6880872434086000215,20230614,1,7027,0,103,多策略,2124,1,2,4.52,1400,20230614093000,4.53,1400,20230614093000,4,6.45
2350265137553207296,6880872434086000157,20230614,1,7027,0,103,多策略,967,1,2,4.95,100,20230614093000,4.95,100,20230614093000,4,0.5
2350265137553207303,6880872434086000253,20230614,1,7027,0,103,多策略,2224,1,2,4.85,1700,20230614093000,4.85,1700,20230614093000,4,8.41
2350265206272684035,6880872434086000268,20230614,1,7027,0,103,多策略,2277,1,1,3.23,2300,20230614093001,3.23,2300,20230614093001,4,0.15
2350265206272684036,6880872434086000948,20230614,2,7027,0,103,多策略,600565,1,1,1.57,8100,20230614093001,1.57,8100,20230614093001,4,0.25
2350265206272684038,6880872434086000272,20230614,1,7027,0,103,多策略,2285,1,2,2.68,1000,20230614093000,2.68,1000,20230614093000,4,2.73
2350265274992160770,6880872434086000906,20230614,2,7027,0,103,多策略,600397,1,1,2.83,600,20230614093000,2.83,600,20230614093000,4,0.03
2350265481150590976,6880872434086000980,20230614,2,7027,0,103,多策略,600693,1,1,3.97,1200,20230614093000,3.97,1200,20230614093000,4,0.1
2350265481150590978,6880872434086000234,20230614,1,7027,0,103,多策略,2160,1,1,3.95,3800,20230614093000,3.95,3800,20230614093000,4,0.3
2350265481150590985,6880872434086000220,20230614,1,7027,0,103,多策略,2131,1,2,2.46,35300,20230614093001,2.46,35300,20230614093001,4,88.57
2350265549870067714,6880872434086000987,20230614,2,7027,0,103,多策略,600715,1,1,2.53,11100,20230614093001,0.0,0,20230614093001,7,0.56
2350265618589544454,6880872434086000852,20230614,2,7027,0,103,多策略,600157,1,2,1.39,7300,20230614093000,0.0,0,20230614093000,5,10.35
2350265618589544455,6880872434086000837,20230614,2,7027,0,103,多策略,600079,1,1,25.97,2800,20230614093000,0.0,0,20230614093000,5,1.45
2350265756028497927,6880872434086000298,20230614,1,7027,0,103,多策略,2377,1,2,2.46,700,20230614093000,2.46,700,20230614093000,4,1.76
2350265824747974658,6880872434086000871,20230614,2,7027,0,103,多策略,600227,1,2,2.88,500,20230614093000,2.88,500,20230614093000,4,1.47
2350265824747974659,6880872434086000337,20230614,1,7027,0,103,多策略,2494,1,1,4.59,300,20230614093000,4.59,300,20230614093000,4,0.03
2350265893467451393,6880872434086000346,20230614,1,7027,0,103,多策略,2515,1,1,4.88,1100,20230614093000,4.88,1100,20230614093000,4,0.11
2350265893467451396,6880872434086001064,20230614,2,7027,0,103,多策略,600984,1,1,4.38,6800,20230614093000,4.38,6800,20230614093000,4,0.6
2350265893467451397,6880872434086000844,20230614,2,7027,0,103,多策略,600115,1,2,4.79,100,20230614093001,0.0,0,20230614093001,5,0.49
2350265962186928130,6880872434086000279,20230614,1,7027,0,103,多策略,2314,1,1,3.43,100,20230614093000,0.0,0,20230614093000,5,0.01
2350265962186928136,6880872434086000966,20230614,2,7027,0,103,多策略,600626,1,2,3.71,2600,20230614093000,3.71,2600,20230614093000,4,9.84
2350265962186928137,6880872434086000845,20230614,2,7027,0,103,多策略,600120,1,1,3.88,400,20230614093000,3.88,400,20230614093000,4,0.03
2350265962186928140,6880872434086001092,20230614,2,7027,0,103,多策略,601138,1,1,21.76,1400,20230614093000,0.0,0,20230614093000,7,0.61
2350266099625881602,6880872434086000873,20230614,2,7027,0,103,多策略,600231,1,2,2.19,6800,20230614093000,0.0,0,20230614093000,5,15.19
2350266099625881601,6880872434086000984,20230614,2,7027,0,103,多策略,600707,1,2,4.62,300,20230614093001,4.62,300,20230614093001,4,1.41
2350266099625881608,6880872434086000894,20230614,2,7027,0,103,多策略,600355,1,1,3.38,2300,20230614093000,3.38,2300,20230614093000,4,0.16
2350266099625881613,6880872434086000319,20230614,1,7027,0,103,多策略,2435,1,2,4.47,1900,20230614093000,4.47,1900,20230614093000,4,8.66
2350266099625881616,6880872434086001011,20230614,2,7027,0,103,多策略,600792,1,2,3.11,3800,20230614093000,3.11,3800,20230614093000,4,12.05
2350266168345358336,6880872434086000985,20230614,2,7027,0,103,多策略,600708,1,2,2.26,2900,20230614093001,0.0,0,20230614093001,7,6.69
2350266099625881617,6880872434086000889,20230614,2,7027,0,103,多策略,600340,1,2,2.33,2100,20230614093000,2.33,2100,20230614093000,4,4.99
2350266168345358343,6880872434086001000,20230614,2,7027,0,103,多策略,600751,1,1,2.42,2300,20230614093000,2.42,2300,20230614093000,4,0.11
2350266168345358344,6880872434086001025,20230614,2,7027,0,103,多策略,600828,1,2,3.95,900,20230614093000,3.95,900,20230614093000,4,3.63
2350266237064835072,6880872434086000898,20230614,2,7027,0,103,多策略,600369,1,2,3.72,9900,20230614093000,3.72,9900,20230614093000,4,37.56
2350266237064835081,6880872434086001012,20230614,2,7027,0,103,多策略,600794,1,2,3.52,1100,20230614093001,3.52,1100,20230614093001,4,3.95
2350266237064835080,6880872434086000901,20230614,2,7027,0,103,多策略,600376,1,1,4.16,3800,20230614093001,0.0,0,20230614093001,5,0.32
2350266237064835084,6880872434086001105,20230614,2,7027,0,103,多策略,601288,1,2,3.67,12600,20230614093001,3.67,12600,20230614093001,4,47.17
2350266305784311810,6880872434086000338,20230614,1,7027,0,103,多策略,2495,1,1,2.46,100,20230614093001,0.0,0,20230614093001,5,0.0
2350266305784311809,6880872434086000382,20230614,1,7027,0,103,多策略,2628,1,2,3.28,700,20230614093001,3.28,700,20230614093001,4,2.34
2350266305784311812,6880872434086000399,20230614,1,7027,0,103,多策略,2671,1,2,4.25,800,20230614093000,4.25,800,20230614093000,4,3.47
2350266305784311811,6880872434086000356,20230614,1,7027,0,103,多策略,2551,1,2,3.9,300,20230614093001,3.9,300,20230614093001,4,1.19
2350266305784311819,6880872434086001017,20230614,2,7027,0,103,多策略,600807,1,2,3.05,2000,20230614093001,3.05,2000,20230614093001,4,6.22
2350266305784311820,6880872434086001111,20230614,2,7027,0,103,多策略,601333,1,2,4.12,2300,20230614093001,4.12,2300,20230614093001,4,9.67
2350266305784311821,6880872434086000394,20230614,1,7027,0,103,多策略,2663,1,2,1.83,2700,20230614093001,1.83,2700,20230614093001,4,5.04
2350266305784311822,6880872434086000345,20230614,1,7027,0,103,多策略,2512,1,1,4.15,2400,20230614093001,4.15,2400,20230614093001,4,0.2
2350266374503788546,6880872434086001054,20230614,2,7027,0,103,多策略,600959,1,2,3.8,400,20230614093000,3.8,400,20230614093000,4,1.55
2350266374503788547,6880872432980000104,20230614,2,7040,0,103,多策略,600429,1,2,4.81,100,20230614093000,4.81,100,20230614093000,4,0.49
2350266443223265283,6880872434086001055,20230614,2,7027,0,103,多策略,600960,1,1,3.72,100,20230614093000,0.0,0,20230614093000,5,0.01
2350266443223265287,6880872434086000933,20230614,2,7027,0,103,多策略,600512,1,1,2.7,5800,20230614093001,2.7,5800,20230614093001,4,0.31
2350266443223265290,6880872434086000379,20230614,1,7027,0,103,多策略,2613,1,2,4.57,600,20230614093000,4.57,600,20230614093000,4,2.8
2350266718101172224,6880872433386000183,20230614,2,7028,0,103,多策略,601003,1,1,4.17,200,20230614093000,4.17,200,20230614093000,4,0.02
2350266718101172225,6880872434086000442,20230614,1,7027,0,103,多策略,2807,1,2,3.83,2200,20230614093001,3.83,2200,20230614093001,4,8.59
2350266718101172232,6880872434086001060,20230614,2,7027,0,103,多策略,600968,1,2,3.15,200,20230614093000,3.15,200,20230614093000,4,0.64
2350266786820648961,6880872434086001151,20230614,2,7027,0,103,多策略,601918,1,2,4.09,5900,20230614093000,4.09,5900,20230614093000,4,24.61
2350266786820648963,6880872434086000396,20230614,1,7027,0,103,多策略,2666,1,2,4.98,100,20230614093000,0.0,0,20230614093000,5,0.51
2350266786820648966,6880872434086001073,20230614,2,7027,0,103,多策略,601003,1,2,4.18,300,20230614093000,0.0,0,20230614093000,5,1.28
2350266924259602435,6880872434086000404,20230614,1,7027,0,103,多策略,2685,1,1,3.71,600,20230614093001,3.69,600,20230614093001,4,0.04
2350266924259602440,6880872434086001081,20230614,2,7027,0,103,多策略,601086,1,2,4.61,2800,20230614093000,4.61,2800,20230614093000,4,13.17
2350266992979079169,6880872434086001099,20230614,2,7027,0,103,多策略,601188,1,1,3.22,2600,20230614093000,3.22,2600,20230614093000,4,0.17
2350266992979079168,6880872434086001072,20230614,2,7027,0,103,多策略,601000,1,2,3.6,2400,20230614093001,3.6,2400,20230614093001,4,8.81
2350266924259602444,6880872434086000499,20230614,1,7027,0,103,多策略,2958,1,2,2.76,500,20230614093000,2.76,500,20230614093000,4,1.41
2350267061698555904,6880872434086001074,20230614,2,7027,0,103,多策略,601005,1,2,1.42,20400,20230614093000,0.0,0,20230614093000,5,29.55
2350267061698555906,6880872434086000973,20230614,2,7027,0,103,多策略,600665,1,2,4.32,2100,20230614093001,0.0,0,20230614093001,5,9.25
2350267130418032644,6880872434086000997,20230614,2,7027,0,103,多策略,600743,1,2,1.67,6100,20230614093001,1.67,6100,20230614093001,4,10.39
2350267130418032647,6880872434086001018,20230614,2,7027,0,103,多策略,600808,1,2,2.62,1000,20230614093000,2.62,1000,20230614093000,4,2.67
2350267130418032650,6880872434086001080,20230614,2,7027,0,103,多策略,601077,1,2,3.98,500,20230614093000,0.0,0,20230614093000,5,2.03
2350267199137509379,6880872434086000545,20230614,1,7027,0,103,多策略,300072,1,1,3.62,600,20230614093000,0.0,0,20230614093000,5,0.04
2350267199137509381,6880872434086001014,20230614,2,7027,0,103,多策略,600800,1,2,3.58,400,20230614093001,0.0,0,20230614093001,5,1.46
2350267267856986113,6880872434086000490,20230614,1,7027,0,103,多策略,2936,1,2,2.3,900,20230614093001,0.0,0,20230614093001,5,2.11
